图：组合业绩归因（穿透前）,,,,
分组名称 ,资产名称 ,贡献,期末持仓,平均仓位
货币类,银行活期存款,7.10533598289431e-06,0.0284395379517558,0.0111450441516287
,逆回购,1.03239106976269e-05,0,0.00191888119660328
,货币市场基金,1.69619614540016e-05,0.00353580489809804,0.00401124533501897
,货币型养老金产品,5.59494510603241e-05,0.00673502647691004,0.00743047953974621
,同业存单,0.000179479849274448,0.0242726748528782,0.030011751083793
,清算备付金,4.15530693472605e-05,0.00964225344246839,0.00926878115042348
,证券清算款,0,0.00112399906860023,0.00138613023461588
,其他流动性资产,1.57620040521669e-07,3.6470156410823e-05,3.82732041412279e-05
,小计,0.000311531197857077,0.0737857668471215,0.0652105858959707
固收市值类,一年期以上国债,5.02709621274857e-05,0.00670635099328113,0.00738667598135244
,一年期以上政策性、开发性银行债券,2.29381047358688e-05,0.00166422880937577,0.00310244233093708
,金融债,0.000736449589341078,0.038588603676863,0.0430947684854961
,企业债,0.000269664693996366,0.0115094482517502,0.0128156727463477
,公司债,0.00151053520191793,0.147470567773908,0.148207437943661
,（超）短期融资券,0.000547863941465872,0.0380582887786713,0.043809384226898
,中期票据,0.00449576823087208,0.202914500850981,0.224859898377204
,可转债、可交换债,0.000514177979281072,0.0273029054955079,0.0286134759003049
,债券基金,6.28136798297337e-05,0.00289758291120963,0.00319228911284389
,混合型养老金产品,0.00153723336747026,0.0410412025605594,0.0451017084899068
,固定收益型养老金产品,0.00137932890612273,0.0897935689852694,0.0987533830669115
,资产支持证券、票据,5.3366451837918e-05,0.00490813755600056,0.00543406528883914
,小计,0.0111804111089984,0.612855386643377,0.664371201950702
固收成本类,PPN,0.000629377630041253,0.0433157893559971,0.0492959962221009
,私募债,0.00161543086264628,0.169656666727181,0.166569852813842
,信托型养老金产品,0.000197174196516042,0.0168484632588098,0.0185587724048679
,小计,0.00244198268920358,0.229820919341988,0.234424621440811
固定收益类,小计,0.013622393798202,0.842676305985365,0.898795823391513
,剔除期指对冲后的固收仓位,0,0.842676305985365,0.898795823391513
权益类,A股,0.0114260988499421,0.124489805357714,0.129327217348995
,股票基金,5.10879289671287e-05,0.00126772182268076,0.00142171152769452
,混合基金,0.00134441904123673,0.0176377579521879,0.0202974100424326
,港股通基金,-0.000120981181884996,0.00268036925482115,0.00309622960261188
,股票型养老金产品,0.00153045350670657,0.0157719162347813,0.0172722366666815
,小计,0.0142310781449676,0.161847570622185,0.171414805188416
,剔除期指对冲后的权益仓位,0,0.161847570622185,0.171414805188416
费用,费用,-0.000813422408026381,-0.00322279668157519,-0.00322917893360407
,正回购,-0.00084799701673144,-0.0750868467730958,-0.13224257439714
其他,其他,-0.000169523014024398,0,5.05388548454315e-05
总计,,0.0263340607022444,1,1
