图：组合业绩归因（穿透后）,,,,
分组名称 ,资产名称 ,贡献,期末持仓,平均仓位
货币类,银行活期存款,9.33449090012282e-06,0.0311507586085761,0.0143459719672151
,逆回购,1.76761773160645e-05,0.00304221247611961,0.00312748670404543
,货币市场基金,2.20133967033845e-05,0.00445729776256035,0.00512021048191073
,货币型养老金产品,0,0,0
,一年期以内定期存款、协议存款,0,0,0
,一年期以内央行票据,0,0,0
,一年期以内政策性、开发性银行债券,3.37300444088515e-07,0,6.5169627593632e-05
,同业存单,0.00021503882597082,0.0287965624687031,0.0355277721264145
,清算备付金,4.53753253209156e-05,0.0105135623090606,0.0101970360966986
,证券清算款,0,0.00104766941761056,0.00136302315916352
,其他流动性资产,2.00868883771387e-06,3.94635484126028e-05,0.000379680721443728
,小计,0.00031178420549311,0.0790475265910428,0.0701263508844853
固收市值类,一年期以上国债,5.29814970229528e-05,0.00703856035192704,0.0077982738283759
,一年期以上中央银行票据,0,0,0
,一年期以上政策性、开发性银行债券,2.88618838235382e-05,0.00281058320889603,0.00399471493464841
,金融债,0.00077621704745732,0.042358511955403,0.0469752066739491
,企业债,0.000501029225203882,0.0271618321564973,0.0301763018602973
,公司债,0.00170980737945382,0.163768517098,0.166438535330208
,（超）短期融资券,0.000707315472713128,0.0478683323369046,0.0576040955313892
,中期票据,0.00506358358306117,0.22646387199946,0.251128814648243
,可转债、可交换债,0.000645621573547512,0.0314662867995147,0.032721822512854
,债券基金,8.30004000444114e-05,0.00419472420954224,0.004374005355847
,混合型养老金产品,0,0,0
,固定收益型养老金产品,0,0,0
,资产支持证券、票据,6.68298693943516e-05,0.00578597686025281,0.00689322917021812
,其他市值类固收资产,2.68112521238088e-05,0.00097818749408383,0.00117192812086286
,小计,0.0096620591838459,0.559895384470482,0.609276927966894
固收成本类,一年期以上银行存款,0,0,0
,PPN,0.000806773592680164,0.0507395440972748,0.0579976482165997
,私募债,0.00210241445029964,0.209356644450994,0.208876868912308
,信托产品,0.000235336522689424,0.0188587369700918,0.0212548081355475
,债权投资计划,2.76543588072305e-05,0.00197661879742654,0.0024688309122608
,信托型养老金产品,0,0,0
,存款型养老金产品,0,0,0
,债权计划型养老金产品,0,0,0
,其他成本计价类固收资产,0,0,0
,小计,0.00317217892447646,0.280931544315787,0.290598156176717
固定收益类,小计,0.0128342381083224,0.840826928786269,0.89987508414361
,剔除期指对冲后的固收仓位,0,0.840826928786269,0.89987508414361
权益类,A股,0.0141224766548622,0.148893221625435,0.156413579774001
,优先股,0,0,0
,股票基金,5.10879289671287e-05,0.00126772182268076,0.00142171152769452
,混合基金,0.00134441904123673,0.0176377579521879,0.0202974100424326
,港股通基金,-0.000120981181884996,0.00268036925482115,0.00309622960261188
,股票型养老金产品,0,0,0
,其他权益类资产,0,0,0
,小计,0.015397002443181,0.170479070655125,0.18122893094674
,剔除期指对冲后的权益仓位,0,0.170479070655125,0.18122893094674
金融衍生品,国债期货,0,0,0
,股指期货,0,0,0
费用,费用,-0.00108167413306705,-0.00332615392733997,-0.00330194327122248
,正回购,-0.000957768090962948,-0.0867671176370534,-0.14814364648931
其他,其他,-0.000169521830722093,-0.00026025446804369,0.000215223785697753
总计,,0.0263340607022444,1,1
