组合可转债仓位变动情况（穿透后）,,,,
日期,中证转债（000832）收盘价（右轴）,万得可转债高价低溢价率指数（889048）收盘价（右轴）,万得可转债双低指数（889047）收盘价（右轴）,可转债仓位（左轴）
2023/1/3,394.599,194.9299,203.319,0.0323945003496624
2023/1/4,396.1273,196.3401,204.5419,0.0331673920255294
2023/1/5,399.4735,198.8848,205.8757,0.0333392806289092
2023/1/6,400.9627,199.4162,206.1258,0.0334582693746462
2023/1/9,401.8822,200.3471,206.3544,0.0332772448551139
2023/1/10,400.8242,198.9665,205.4166,0.0334481353566268
2023/1/11,400.3899,198.7487,205.3832,0.0334175443207406
2023/1/12,401.0479,199.3953,205.8696,0.0334996141128224
2023/1/13,401.6989,199.3984,206.62,0.0339741213779678
2023/1/16,404.4811,200.7013,207.9805,0.0341635838178718
2023/1/17,405.9379,201.6559,208.7202,0.0342273116800321
2023/1/18,406.9639,203.0294,209.2097,0.0342262520563933
2023/1/19,407.9904,203.8087,209.6404,0.0341776095077966
2023/1/20,410.1295,205.6849,210.6915,0.0343891652452862
2023/1/30,410.5912,206.2602,209.9875,0.0341786850788564
2023/1/31,409.2832,206.1152,209.2379,0.0341012466006694
2023/2/1,411.6621,208.0015,209.9536,0.0341757774737498
2023/2/2,412.3436,208.5627,210.0773,0.0341679219531186
2023/2/3,410.8728,206.9382,209.4211,0.033966681766422
2023/2/6,407.3804,204.7255,208.136,0.0337618599615663
2023/2/7,408.2914,205.1484,208.6414,0.0338446300524644
2023/2/8,407.5322,204.8176,208.2715,0.0329640498530286
2023/2/9,409.9969,206.4783,209.2359,0.0329867814061693
2023/2/10,409.6174,206.1206,209.2376,0.0329706412480205
2023/2/13,410.2951,207.3248,209.3459,0.032876172861845
2023/2/14,410.2251,207.3927,209.2084,0.032802601873399
2023/2/15,408.7006,206.0324,208.4277,0.0326747222637896
2023/2/16,405.9363,203.7507,207.3248,0.0326588129812228
2023/2/17,402.945,201.3947,206.0532,0.0325492552487104
2023/2/20,406.4941,204.8295,207.9548,0.0327623533190318
2023/2/21,407.4221,205.2383,208.2672,0.0327962920225571
2023/2/22,406.9505,205.0233,208.0565,0.0320668573906905
2023/2/23,406.7288,204.6754,207.9557,0.0320479055260101
2023/2/24,405.5517,203.7191,207.3459,0.0319810200488908
2023/2/27,404.3695,202.9639,206.5493,0.0318963874387643
2023/2/28,404.8567,203.682,206.7255,0.0318882967853656
2023/3/1,407.3083,205.5731,208.0181,0.032100791136088
2023/3/2,407.0891,203.7485,208.4293,0.0315431743914651
2023/3/3,407.809,203.8764,209.2249,0.0316185496685177
2023/3/6,407.9561,204.8465,208.8678,0.0316053109690976
2023/3/7,405.5409,201.721,208.1135,0.0314900517443156
2023/3/8,404.8263,200.7922,207.4498,0.0313911686264875
2023/3/9,404.907,200.7132,207.2603,0.0313482495538498
2023/3/10,402.8951,198.0144,206.1667,0.0313492608245379
2023/3/13,403.8239,199.6088,206.9557,0.0313433790497016
2023/3/14,403.2966,199.1303,206.7757,0.0313073030258042
2023/3/15,404.2991,200.0249,207.6416,0.0314126905466239
2023/3/16,402.085,197.3586,206.8158,0.0314079481853043
2023/3/17,403.0847,198.1499,207.2776,0.0314682937205266
2023/3/20,403.2591,197.5725,206.9046,0.0313744505320828
2023/3/21,404.9851,199.9669,207.3105,0.0314125221819345
2023/3/22,406.3301,201.0973,208.1591,0.0302564633481643
2023/3/23,406.6478,200.72,208.4144,0.0309126495492607
2023/3/24,406.4184,200.2288,208.0001,0.031295553372846
2023/3/27,406.1294,199.9129,207.6681,0.0316249122284246
2023/3/28,405.2045,199.6302,207.142,0.0320272917780374
2023/3/29,404.5233,198.6912,206.6181,0.0320844579008091
2023/3/30,405.0733,198.5457,207.4022,0.03219990390191
2023/3/31,406.5161,200.0231,208.1086,0.0314662867995147
