市值分布（%）,,,,,,,,,
,,,,市值,市值范围,市值占比,市值占比合计,相对占比,相对占比合计
,,,,大盘,市值 > 1000 亿元,4.55185647119671,6.56941471432736,30.5712806903166,44.1216506877242
,,,,,500 亿元 < 市值 ≤1000 亿元,2.01755824313065,,13.5503699974076,
,,,,中盘,100 亿元 < 市值 ≤500 亿元,5.2578531448319,5.2578531448319,35.3129114101572,35.3129114101572
,,,,小盘,20亿元 < 市值 ≤ 100亿元,3.06205430338428,3.06205430338428,20.5654379021186,20.5654379021186
,,,,,市值 ≤ 20亿元,0,,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
市值分布,,,,,,,,,
日期,大盘,中盘,小盘,,,,,,
2023-01-01,0.405324536519017,0.359539635067436,0.235135828413547,,,,,,
2023-03-31,0.441216506877242,0.353129114101572,0.205654379021186,,,,,,
