组合大类资产配置情况（穿透前）_全,,,
分组名称,资产名称,期末持仓,图表显示
货币类,银行活期存款,0.0284395379517558,否
,逆回购,0,否
,货币市场基金,0.00353580489809804,否
,货币型养老金产品,0.00673502647691004,否
,同业存单,0.0242726748528782,否
,清算备付金,0.00964225344246839,否
,证券清算款,0.00112399906860023,否
,其他流动性资产,3.6470156410823e-05,否
,货币类,0.0737857668471215,是
固收市值类,一年期以上国债,0.00670635099328113,否
,一年期以上政策性、开发性银行债券,0.00166422880937577,否
,金融债,0.038588603676863,否
,企业债,0.0115094482517502,否
,公司债,0.147470567773908,是
,（超）短期融资券,0.0380582887786713,否
,中期票据,0.202914500850981,是
,可转债、可交换债,0.0273029054955079,否
,债券基金,0.00289758291120963,否
,混合型养老金产品,0.0410412025605594,是
,固定收益型养老金产品,0.0897935689852694,是
,资产支持证券、票据,0.00490813755600056,否
,小计,0.612855386643377,否
固收成本类,PPN,0.0433157893559971,是
,私募债,0.169656666727181,是
,信托型养老金产品,0.0168484632588098,是
,小计,0.229820919341988,否
权益类,A股,0.124489805357714,是
,股票基金,0.00126772182268076,是
,混合基金,0.0176377579521879,是
,港股通基金,0.00268036925482115,是
,股票型养老金产品,0.0157719162347813,是
,小计,0.161847570622185,否
,剔除期指对冲后的权益仓位,0.161847570622185,否
