组合大类资产配置情况（穿透后）_全,,,
分类名称,资产名称,期末持仓,图表显示
货币类,银行活期存款,0.0311507586085761,否
货币类,逆回购,0.00304221247611961,否
货币类,货币市场基金,0.00445729776256035,否
货币类,货币型养老金产品,0,否
货币类,一年期以内定期存款、协议存款,0,否
货币类,一年期以内央行票据,0,否
货币类,一年期以内政策性、开发性银行债券,0,否
货币类,同业存单,0.0287965624687031,否
货币类,清算备付金,0.0105135623090606,否
货币类,证券清算款,0.00104766941761056,否
货币类,其他流动性资产,3.94635484126028e-05,否
固收市值类,一年期以上国债,0.00703856035192704,否
固收市值类,一年期以上中央银行票据,0,否
固收市值类,一年期以上政策性、开发性银行债券,0.00281058320889603,否
固收市值类,金融债,0.042358511955403,是
固收市值类,企业债,0.0271618321564973,否
固收市值类,公司债,0.163768517098,是
固收市值类,（超）短期融资券,0.0478683323369046,是
固收市值类,中期票据,0.22646387199946,是
固收市值类,可转债、可交换债,0.0314662867995147,否
固收市值类,债券基金,0.00419472420954224,否
固收市值类,混合型养老金产品,0,否
固收市值类,固定收益型养老金产品,0,否
固收市值类,资产支持证券、票据,0.00578597686025281,否
固收市值类,其他市值类固收资产,0.00097818749408383,否
固收成本类,一年期以上银行存款,0,否
固收成本类,PPN,0.0507395440972748,是
固收成本类,私募债,0.209356644450994,是
固收成本类,信托产品,0.0188587369700918,是
固收成本类,债权投资计划,0.00197661879742654,是
固收成本类,信托型养老金产品,0,否
固收成本类,存款型养老金产品,0,否
固收成本类,债权计划型养老金产品,0,否
固收成本类,其他成本计价类固收资产,0,否
权益类,A股,0.148893221625435,是
权益类,优先股,0,否
权益类,股票基金,0.00126772182268076,是
权益类,混合基金,0.0176377579521879,是
权益类,港股通基金,0.00268036925482115,是
权益类,股票型养老金产品,0,否
权益类,其他权益类资产,0,否
权益类,剔除期指对冲后的权益仓位,0.170479070655125,否
金融衍生品,国债期货,0,否
金融衍生品,股指期货,0,否
